id,region_id,delegacion,nivel,sede,created_at,updated_at
103,5,D-III-24,"ADMINISTRATIVOS TELEBACHILLERATO",XALAPA,NULL,NULL
104,5,D-I-75,PRIMARIAS,CARRIZAL,NULL,NULL
105,5,D-III-23,"EDUCACION FISICA",XALAPA,NULL,NULL
106,5,D-I-20,PRIMARIAS,"EMILIANO ZAPATA",NULL,NULL
107,5,D-II-04,"BACHILLERATOS MATUTINOS",XALAPA,NULL,NULL
108,5,D-IV-18,"JUBILADOS Y PENSIONADOS",ALTOTONGA,NULL,NULL
109,2,D-IV-09,"JUBILADOS Y PENSIONADOS",TUXPAN,NULL,NULL
110,4,D-IV-28,"JUBILADOS Y PENSIONADOS",MISANTLA,NULL,NULL
111,4,D-IV-08,"JUBILADOS Y PENSIONADOS","MARTINEZ DE LA TORRE",NULL,NULL
112,6,D-IV-05,"JUBILADOS Y PENSIONADOS","SOLEDAD DE DOBLADO",NULL,NULL
113,10,D-IV-03,"JUBILADOS Y PENSIONADOS","SAN ANDRES TUXTLA",NULL,NULL
114,10,D-IV-26,"JUBILADOS Y PENSIONADOS",ISLA,NULL,NULL
115,9,D-IV-06,"JUBILADOS Y PENSIONADOS",COSAMALOAPAN,NULL,NULL
116,8,D-IV-32,"JUBILADOS Y PENSIONADOS",ZONGOLICA,NULL,NULL
117,8,D-IV-07,"JUBILADOS Y PENSIONADOS",ORIZABA,NULL,NULL
118,5,D-IV-17,"JUBILADOS Y PENSIONADOS",COATEPEC,NULL,NULL
119,7,D-IV-16,"JUBILADOS Y PENSIONADOS",CORDOBA,NULL,NULL
120,9,D-IV-21,"JUBILADOS Y PENSIONADOS",ALVARADO,NULL,NULL
121,5,D-IV-02,"JUBILADOS Y PENSIONADOS",XALAPA,NULL,NULL
122,1,D-IV-13,"JUBILADOS Y PENSIONADOS",TANTOYUCA,NULL,NULL
123,4,C.T.05,"ESCUELA Y BACHILLERES ALFONSO REYES",MISANTLA,NULL,NULL
124,5,C.T.23,"BACHILLERATO JOAQUIN RAMIREZ CABAÑAS MIXTA",XALAPA,NULL,NULL
125,4,C.T.09,"SECUNDARIA GENERAL","SAN RAFAEL",NULL,NULL
126,8,C.T.13,SECUNDARIA,"CIUDAD MENDOZA",NULL,NULL
127,4,C.T.29,BACHILLERATO,"MARTINEZ DE LA TORRE",NULL,NULL
128,10,C.T.36,"SECUNDARIA Y BACHILLERATO","SANTIAGO TUXTLA",NULL,NULL
129,5,C.T.20,"BACHILLEARTO RICARDO FLORES MAGON MIXTO",XALAPA,NULL,NULL
130,5,C.T.03,"BACHILLERATO SABATINO",XALAPA,NULL,NULL
